"Frequency / Hz","Voltage Adder","Voltage Adder"
100,18.371518514289424,-4.0341725167235509
200,18.272387914273686,-4.1340447932564679
300,18.298111694879392,-4.7448953330695458
400,18.339637830680203,-5.6977509970221227
500,18.392169202482602,-6.8718707697680044
600,18.427677641190105,-8.2443304275281957
700,18.447165039752932,-9.7922015976108074
800,18.425044100872807,-11.510173840317236
900,18.373052565247303,-13.122765971354891
1000,18.306328087315059,-14.622052762556642
1100,18.229701123431255,-15.989077206246362
1200,18.150845127263857,-17.268193858053273
1300,18.07290467730374,-18.451856687206408
1400,18.002381899043002,-19.571556102829291
1500,17.947113446864872,-20.608426605204556
1600,17.920351519614179,-21.676365058508232
1700,17.914077992760234,-22.994856071210485
1800,17.878747473664404,-24.653530487362719
1900,17.768875636421427,-26.358121753246781
2000,17.607877009708005,-27.621624192628332
2100,17.478558141607891,-28.289607806667426
2200,17.450121131473921,-28.871290624640842
2300,17.474494047022059,-30.073604575231915
2400,17.431030831880076,-31.847288008665409
2500,17.280889737222683,-33.42116751411087
2600,17.118975346227316,-34.286675484428976
2700,17.04447899487792,-34.7942101937236
2800,17.046210863628346,-35.692323315780165
2900,17.020349033553238,-37.212183739565702
3000,16.88773916026684,-38.814710464525817
3100,16.702891505810076,-39.679142507281355
3200,16.631037703740063,-39.987750305636396
3300,16.665050887552255,-41.022064795633547
3400,16.582989129864927,-42.802337428468974
3500,16.378136303901236,-43.792863774426174
3600,16.289511566507919,-43.982744920056973
3700,16.300543089998655,-44.915359352424595
3800,16.207540576572995,-46.427889610642339
3900,16.026479165609622,-47.34882316479672
4000,15.927786981716734,-47.612205785952327
4100,15.937265416231796,-48.458731411121676
4200,15.834575270215636,-49.957074148826628
4300,15.659426438001907,-50.479774527114643
4400,15.641675017843642,-50.753547873569673
4500,15.6088974000345,-51.975191415345527
4600,15.446028110184908,-52.874247769692118
4700,15.347859025865185,-52.946076081623062
4800,15.358465279816196,-53.656288193772752
4900,15.211521891065203,-54.865478236681916
5000,15.061683576696565,-54.812208518259496
5100,15.076870252559193,-55.44622045925729
5200,14.915328405211419,-56.521423898032253
5300,14.795509843125883,-56.483958073801439
5400,14.78010440188717,-57.241724638195905
5500,14.619511332559226,-58.196349002994403
5600,14.513865425536084,-58.212311459736362
5700,14.493337628996494,-59.117235836638301
5800,14.317320227403936,-59.772560456175285
5900,14.284814416283712,-59.969320833002342
6000,14.193001570824922,-61.115808089162641
6100,14.057643321639846,-61.291272469448266
6200,14.068617664800859,-61.953233949377342
6300,13.912743769001503,-62.878866315042224
6400,13.883173488900905,-62.960112353665203
6500,13.802286328237297,-64.131920854439642
6600,13.708989986450192,-64.271087315561417
6700,13.701906630314543,-65.244798640925438
6800,13.564706992255335,-65.836254185133001
6900,13.570166169562558,-66.266730253366816
7000,13.448311735155826,-67.237890839403789
7100,13.435881003224173,-67.517827697893992
7200,13.321885228619317,-68.622880594056227
7300,13.28025709460379,-68.796526797513792
7400,13.21729376855869,-69.990827518533308
7500,13.12927637100473,-70.160592077050438
7600,13.078353802561903,-71.196311992238208
7700,12.99360804600183,-71.321942170487532
7800,12.939176816109992,-72.309376050023388
7900,12.826862207261778,-72.39211920087925
8000,12.790501347268961,-73.271070733676112
8100,12.691076797321871,-73.356956587743468
8200,12.626862696082297,-74.263856461324252
8300,12.572642514846041,-74.235571265638498
8400,12.517408309669232,-75.144682357043436
8500,12.475873188780916,-75.101338614329592
8600,12.40419390329455,-75.801572092579775
8700,12.414399036057837,-75.92994614874533
8800,12.290098185058616,-76.313048791142194
8900,12.313949586642375,-76.536700433526647
9000,12.194897045580005,-76.611372710763845
9100,12.157339539991153,-77.093963957994418
9200,12.097470919191595,-76.840486083672033
9300,11.997297788247653,-77.433806433830966
9400,11.972755541449837,-77.289119828242704
9500,11.853146078847898,-77.525320962269731
9600,11.813532884035281,-78.06372375659052
9700,11.74111823043415,-77.891204876461131
9800,11.647554865506757,-78.595508574256172
9900,11.620247324399202,-78.71280097298758
10000,11.52172826746331,-78.833239356729507
11000,11.163392695868799,-83.990343945663213
12000,10.744412532846878,-89.916452969069638
13000,10.525884673415366,-93.21159164393562
14000,10.168644151629078,-93.428151540438634
15000,10.005618242808016,-98.063838964944424
16000,9.9223622127019961,-106.78216724989514
17000,9.8282321010327962,-111.70332750358651
18000,9.9830592448809767,-111.79038542169656
19000,9.9635456598316079,-116.70166744349399
20000,9.7990022007863082,-130.8325638425917
21000,9.4275779303503509,-138.88191524349975
22000,10.400565150368738,-143.42833887429373
23000,10.139865249347439,-152.09060230098248
24000,11.707614297324266,-214.78220423918768
25000,-11.596396380018088,-359.36818258156137
