"Frequency / Hz","Voltage Adder","Voltage Adder"
100,30.800406061188124,-4.2646732516712555
200,30.743705363810257,-5.7461092535837723
300,30.698121837074876,-7.1811293529983464
400,30.667889726356563,-8.4943400055085334
500,30.664675145140727,-9.6973546522213994
600,30.72804154465458,-11.23886392907071
700,30.460843679828272,-12.20544652720077
800,30.495216267412161,-13.922415862569746
900,30.510821010659896,-15.779201634866482
1000,30.483050802344074,-17.73702521266382
1100,30.413552347710876,-19.67226226660005
1200,30.33452584039274,-19.563357565510596
1300,30.317790865039626,-22.86574666327266
1400,30.245443498248456,-24.269901056423564
1500,30.183892318369843,-25.76957802614162
1600,30.108568614593956,-27.199374425805928
1700,30.043270037755335,-28.779396792600664
1800,29.754520148765991,-29.245053625701999
1900,29.896081099478444,-31.090635156333139
2000,29.806862432092984,-32.637081471317558
2100,29.700931225751187,-34.260454995417867
2200,29.555213565665017,-35.566717321496157
2300,29.462475543073104,-36.903745405152321
2400,29.261551149522283,-37.916038612790508
2500,29.271116865290125,-39.374769002254602
2600,29.158307845759857,-40.847408687587738
2700,29.031997110177905,-42.35006353877187
2800,28.887562981781954,-43.733642249840628
2900,28.735229477464216,-45.120137066458447
3000,28.593055612504127,-46.421545148388617
3100,28.54925902079394,-47.802265958129659
3200,28.376857214584945,-49.887964724272109
3300,28.175976757220781,-50.795721390278878
3400,28.066761322498142,-51.816843491207926
3500,27.995751781242824,-53.354474327629354
3600,27.711164321425379,-54.767367337586293
3700,27.573019611407382,-55.889231865389725
3800,27.358618870757429,-56.316143856733561
3900,27.285439138110249,-58.023157921419418
4000,27.051339590213381,-59.160522846664051
4100,26.76163129686476,-59.955081414179844
4200,26.76929646504199,-60.081402334787512
4300,26.637291937882853,-61.707477055811154
4400,26.562959000883154,-62.98405722923367
4500,26.47244612031033,-62.779050270572192
4600,26.475616784459405,-64.535529376518056
4700,26.426708044572504,-65.52749367727742
4800,26.302429744310871,-66.307205131275097
4900,26.279179737768654,-66.955404358707113
5000,26.122941520969416,-67.228241874291427
5100,25.946287012652611,-67.559109112475866
5200,26.044560547278106,-67.921164531085651
5300,25.858722596693386,-68.560277762575254
5400,25.834605840071067,-68.001072401624555
5500,25.881367724584884,-69.656978054100222
5600,25.518082487902195,-70.787036377167624
5700,25.430570999726068,-70.455416209815141
5800,25.414141333559531,-71.581582085528595
5900,25.106945009462379,-71.299804113747584
6000,25.167485234542781,-70.902135505818336
6100,25.152774943389261,-72.82000564909778
6200,24.940759331698523,-72.806771111401446
6300,24.944079174578079,-74.260242282473541
6400,24.671891454181036,-75.329763724102335
6500,24.594131475263524,-74.647235416141356
6600,24.445785822085494,-76.052325320241266
6700,24.410098120387296,-75.984719808274136
6800,24.487160295660825,-77.165719038117388
6900,24.168798373614496,-77.747336910000229
7000,24.233630830049265,-79.215812677083633
7100,23.956663008126895,-79.372321035703237
7200,23.941942031552884,-80.594599168743301
7300,23.654056017295382,-81.755404098033935
7400,23.803148208248636,-82.58318709037566
7500,23.556420108612983,-83.757442752031622
7600,23.496574188300393,-84.151522967760584
7700,23.34440161509427,-85.849596027478825
7800,23.1992978724025,-85.73874102283277
7900,22.989959420459826,-86.84587431070878
8000,22.702424723376925,-86.650910486204779
8100,22.53019454609294,-88.018723792494654
8200,22.550478793015078,-87.225284828970757
8300,22.234161931132029,-88.78406983401463
8400,22.24088996138644,-88.904324772628812
8500,21.92066778318031,-90.174081379557791
8600,22.097568444069164,-89.803212467449896
8700,22.022441777641042,-89.899011907169708
8800,22.051311336938252,-91.494052227979736
8900,22.009561661306385,-91.693407553109196
9000,22.102654686059843,-92.855344026240218
9100,22.113151086065169,-92.523835820944768
9200,22.008629339668882,-93.382712330843034
9300,22.007086381756228,-92.63617335247072
9400,21.903613118749931,-93.822986091510018
9500,22.009779283957833,-93.380740513669579
9600,21.676422064935927,-92.073964625421581
9700,21.75553717958568,-92.819626737265494
9800,21.873382677666893,-91.469050792225033
9900,21.528096144781962,-92.885782044239861
10000,21.726451172304632,-93.909194713900675
11000,20.830960718897479,-96.07010071480876
12000,19.571544974219016,-106.42840528998384
13000,18.860241686900224,-106.95743561323553
14000,18.883255336210059,-108.70941526233597
15000,18.293328489696901,-110.96176537618403
16000,17.048106178738816,-122.88394474724132
17000,16.192844110574288,-119.89702985982278
18000,16.624351207249639,-123.06801351216701
19000,16.284515030268082,-130.6137783013275
20000,15.232338723775902,-142.00674998882408
21000,14.026464377204205,-134.41152266530509
22000,13.631650374888071,-142.203888820213
23000,14.00821509032899,-140.45616091924899
24000,17.829812254615561,-183.32244180869216
25000,-1.194883884507429,-219.802453335324
