"Frequency / Hz","Linear Voltage Combiner","Linear Voltage Combiner"
50,22.22476099113285,331.62379662286634
100,28.238028360085039,333.13075598983409
150,22.046951313631066,191.87639184762799
200,14.842351112437584,257.46442576722382
250,27.171600021290519,403.28915792867667
300,19.615025757016667,293.93574346534922
350,26.757361878630633,302.51467439805077
400,19.457524945829427,137.50844402288348
450,15.184986231171706,234.26182787839019
500,25.242728116036744,361.11763721385023
550,11.648630535980395,233.93507544142824
600,22.888566501787494,272.12856127356935
650,15.839140665065635,397.83603527229172
700,13.845511463977971,220.04804022077877
750,18.248351423953174,305.16532279751891
800,9.4977607771019859,398.16147422488029
850,15.728541814402629,292.55888726965634
900,17.285534806424771,273.11416436507102
950,13.39961828320515,217.56157384609148
1000,14.500175434186342,61.981791036687298
1050,14.28341809168333,-55.793459810035301
1100,21.481512398850246,-71.9696243758641
1150,14.225323107104874,-209.223204955867
1200,12.732829474764873,-159.24077003978334
1250,18.823434648078173,-29.42274620703347
1300,0.19793735148565406,-199.31457544080968
1350,13.850515289989005,-108.17274151532666
1400,13.341713626476333,-72.925590012236341
1450,11.607543182437547,-147.10796599734442
1500,10.663887871898467,-292.78904644367583
1550,9.7747980116586923,-432.15861620804185
1600,19.065303115151927,-446.49047740455478
1650,8.5982743359908103,-609.41325304032102
1700,10.125727751998905,-529.18037503805999
1750,11.791018838003918,-440.68453756476674
1800,2.4362943847426433,-346.4929323521219
1850,13.245430252794492,-420.44954924798708
1900,12.680546891857611,-519.88870410610707
1950,11.918331966209031,-525.95061300062957
2000,14.383557362649654,-383.83349270055498
2050,-1.9091906808578125,-207.85558512812622
2100,7.7632864276644922,-107.82306679797975
2150,11.496473252063451,-114.1633133691635
2200,11.543526231337681,-156.17561407089792
2250,12.432038274162043,11.426094251650118
2300,1.2019123976075081,-164.20731073407319
2350,10.682301811115444,-126.20891240403564
2400,9.0478872482105164,-93.228838770823515
2450,10.486893291015056,-153.1868960559901
2500,10.683024354004967,26.659644404491527
2550,-0.14494761033079032,199.23447996157736
2600,10.121555179909452,232.56141520949905
2650,8.371673505152792,263.61135337774448
2700,10.465011452062022,205.82796337524002
2750,9.68187001081745,376.09960021126551
2800,-0.97793774689613411,530.94857136995324
2850,5.3578105905525604,591.32374305777648
2900,8.5997451850911677,596.8443054973477
2950,10.583232199918076,555.414741807768
3000,8.8963914195034182,698.008389221333
3050,-3.5348727429785787,841.47622397746568
3100,4.5535907140855771,1020.5073282915679
3150,7.8259261177186605,912.78416954960198
3200,9.2505808748438803,898.48393193053562
3250,5.1469346592931275,976.50876720259566
3300,-9.8164068770053028,1155.7919768828413
3350,11.433960655577049,1001.7247764551545
3400,-2.57889739771286,824.40195263242845
3450,4.0739618796434325,917.71483262761319
3500,4.0003808676640382,831.68708049902
3550,-5.1161608056747436,897.94452129590991
3600,8.0206677235699946,945.42936879670447
3650,4.4577556623140442,970.86298203133174
3700,9.3007359544158792,914.68208404521511
3750,4.5782692929670361,1046.6112761278664
3800,-4.2439128301828699,1189.0357284577826
3850,7.6387660538795741,1019.2686859238495
3900,0.017923626798345887,865.63883142889847
3950,3.3880328713331567,904.78968382459777
4000,4.1355365006076976,838.17488287361584
4050,-3.9380880577438941,852.443281067719
4100,2.5699019742996625,935.07175645363395
4150,3.8509616808972642,951.65671769192272
4200,8.3151488385568548,903.03348212302762
4250,1.9737758731743988,960.39990050228619
4300,-2.8703700047029415,840.72895978611075
4350,7.714405030685799,978.55308098967907
4400,-3.9019615296590655,1031.8568669351689
4450,6.648597197513892,928.85439584867515
4500,0.30513132349383015,1058.008993397184
4550,-2.0805853168515673,1211.297815476536
4600,4.6593692823848745,1372.7620171310332
4650,-5.7791651620108357,1524.0018340991865
4700,1.3890259163977747,1653.1411005436025
4750,0.66245723037167403,1475.0102743762486
4800,-5.1362582290421708,1580.4672058588308
4850,0.2493016488339064,1740.4795902296132
4900,0.25186491521315024,1577.0028938626822
4950,-2.8320789584377239,1642.5888146441498
5000,-1.7362985253437828,1494.6324853573617
5500,-0.5921526972227078,1436.5120345338396
6000,-4.3698396755112361,1263.1822034095674
6500,-7.8518797077550841,1245.6137300553651
7000,-16.034256644761758,1110.8129069856252
7500,-21.814015122694578,1193.8759730383392
8000,-27.711648467128505,1115.835165028245
8500,-25.574828051019288,1204.5333082083941
9000,-28.73605881673403,1092.2834209213077
9500,-27.282625128451244,1161.2008402956137
10000,-27.255234832121396,1206.8476349289831
10500,-33.547136199143203,1213.2295613776653
11000,-36.482631573037132,1086.9778422157601
11500,-26.060378124848963,931.75694374587795
12000,-25.58429891171459,979.65096426664013
12500,-24.465626720741376,961.81817432642447
13000,-20.199367598570753,947.98813302609676
13500,-19.294840547450217,933.80437069711093
14000,-20.314305212347627,906.59279208786222
14500,-15.519974364493407,922.80885112678254
15000,-19.962609577042503,924.78000761795511
15500,-18.758413507984169,901.12879326060408
16000,-23.547605887676099,875.64796627251076
16500,-23.639221577548174,863.42658815714003
17000,-28.639867130788378,899.80939715000693
17500,-24.59200208797315,799.16667135520981
18000,-32.072864150701641,761.54974577120186
18500,-26.541473688878312,844.93242023281016
19000,-26.706518229914739,852.55861833699828
19500,-37.204939070981354,844.83628097596943
20000,-31.275490220521394,884.42147911307734
20500,-35.428307410941905,887.81838904340179
21000,-42.09070409786964,841.86402430223382
21500,-33.936282537065175,736.54971885580937
22000,-37.548831039292551,591.26285910762272
22500,-33.360916186521003,747.84811412902911
23000,-32.535440869178991,675.1557783906087
23500,-30.153620291648672,826.73692403358859
24000,-26.906775840926606,878.19189537066859
