"Frequency / Hz","Op Amp","Op Amp"
100,15.890926018866436,-1.0300178057027898
200,15.885800997789701,-1.9366013914923961
300,15.880974940788654,-2.8485674971417643
400,15.873586564735325,-3.7592112946299716
500,15.865582300221156,-4.659171654911396
600,15.856385058872579,-5.5577670278377189
700,15.846374207394405,-6.4444989221766011
800,15.837050097089309,-7.3344792512563082
900,15.826371577718705,-8.2227404242635149
1000,15.814956307789485,-9.113598773327082
1100,15.80224030192989,-10.005541883661948
1200,15.78790574168794,-10.89452270007185
1300,15.772401807130784,-11.785080061272881
1400,15.75575342071418,-12.661023125024826
1500,15.738973672265868,-13.540836048005747
1600,15.720549346313303,-14.410827387073867
1700,15.70275525014968,-15.276557845351769
1800,15.685061077371028,-16.135016210694623
1900,15.670909834861726,-17.005003391229742
2000,15.656390150090429,-17.913583763321135
2100,15.635501480861578,-18.853816229918579
2200,15.605722509607689,-19.788751871991121
2300,15.570973008157203,-20.673288799612934
2400,15.536271880081777,-21.519327890216431
2500,15.505754699026387,-22.345466825885346
2600,15.475711514042569,-23.178987724394528
2700,15.445878687105544,-24.005032965778533
2800,15.415289023032843,-24.827771444616349
2900,15.387767723653001,-25.632717001133422
3000,15.365568051910651,-26.460363674830205
3100,15.342779083313374,-27.358561620691862
3200,15.305653418664516,-28.307065542097494
3300,15.253589061575099,-29.174309721762373
3400,15.204611360418854,-29.930299069313218
3500,15.169151308502629,-30.678243128664338
3600,15.134118361066207,-31.460439808536357
3700,15.099903305028979,-32.236506209910253
3800,15.069789159523808,-33.025733314202554
3900,15.039243462555696,-33.890665113152934
4000,14.991933278853971,-34.787002216543009
4100,14.93118488539247,-35.567525712656789
4200,14.884963932300121,-36.219766319912452
4300,14.857156556275994,-36.951412003019577
4400,14.823688150000546,-37.770593727659829
4500,14.781512311735671,-38.593868514953606
4600,14.73270248306118,-39.428025678045586
4700,14.671818670102496,-40.200316666588193
4800,14.614559850060939,-40.843883266662722
4900,14.585700630749214,-41.465400152300042
5000,14.558662054391666,-42.315079632826375
5100,14.499563732735506,-43.151154230472834
5200,14.441942787198096,-43.856835002740951
5300,14.388443919454765,-44.542090765244929
5400,14.347094059429635,-45.164421315209282
5500,14.31941211540668,-45.933110484980951
5600,14.261075954201342,-46.825119431456898
5700,14.183734740302825,-47.454975247208438
5800,14.142496922479182,-48.022034575144119
5900,14.106423720023034,-48.719325300118861
6000,14.06429236631363,-49.492163335909126
6100,13.999063719934284,-50.276373059787815
6200,13.929676630367849,-50.822045814695741
6300,13.906491663140452,-51.408060488336467
6400,13.858724041791127,-52.281208552418846
6500,13.786491673303438,-52.949906518213979
6600,13.723239224176824,-53.524770954074562
6700,13.688709992583048,-54.057554788324779
6800,13.654477152383997,-54.877336021776294
6900,13.568403173867607,-55.591362299515467
7000,13.520587523284215,-56.040822201836605
7100,13.484675766324653,-56.734529724171125
7200,13.42982098932503,-57.496434845580879
7300,13.345523810101533,-58.106371589413094
7400,13.31007762908159,-58.493619414719433
7500,13.276581204709434,-59.331115565246158
7600,13.195404750937527,-59.965307669158456
7700,13.138772417086068,-60.456502147801729
7800,13.110355885385729,-61.051301789186006
7900,13.040549513164539,-61.886589142225795
8000,12.962410737079518,-62.238260779414119
8100,12.943542849987328,-62.846521151166684
8200,12.883204840788871,-63.586054644324868
8300,12.800200583462466,-64.117554406578634
8400,12.778042169500681,-64.551058021161296
8500,12.714024765112971,-65.415416276646553
8600,12.634708650188468,-65.788088237452655
8700,12.606006569446084,-66.293702168272191
8800,12.556948718193885,-67.086519843638101
8900,12.463684481682485,-67.490550062282836
9000,12.453493236051953,-68.045942384241599
9100,12.372112236172885,-68.760583877358471
9200,12.30204569245034,-69.121248152047357
9300,12.291061894131182,-69.688489315541361
9400,12.193942732621682,-70.42950112617595
9500,12.157066195276018,-70.708920169090817
9600,12.112878435739914,-71.439116319145654
9700,12.017841313967434,-71.952072167038978
9800,12.005545412933206,-72.279934765267001
9900,11.929304071896794,-73.127361757695368
10000,11.86768856985349,-73.403703346312
11000,11.329291528924834,-78.376423695941341
12000,10.764527405886168,-83.493938371805356
13000,10.231055848710973,-88.074352985968204
14000,9.6842116423670621,-92.02717395320505
15000,9.1554830068761266,-96.555023315931265
16000,8.6181561999552887,-100.19784131693567
17000,8.2321390779482861,-104.28529511580956
18000,7.7449428491468355,-107.80393659125468
19000,7.123836530095442,-111.9268033696457
20000,6.8051859573384004,-115.44947161609514
21000,6.2217201457209335,-119.44605466948406
22000,5.8508765957194679,-119.72403237830838
23000,5.1988758901856187,-120.11801301575576
24000,10.195068624701012,-143.66265035861659
25000,5.6745733219528249,-188.02328514100452
