"Time / s","Pulse Generator","Iout:Measured current"
0,1.25,-114.28571428571428
1.6245938486205008e-07,1.25,-112.53101892437483
1.6245938486206506e-07,1.25,-112.53101892437468
6.9007525325009228e-07,1.25,-107.01581669765615
1.2176911216381193e-06,1.25,-101.77057053566853
1.7453069900261462e-06,1.25,-96.782422073620324
2.2729228584141737e-06,1.25,-92.038990765090233
2.8005387268022005e-06,1.25,-87.528373882027097
3.3281545951902274e-06,1.25,-83.239146514749905
3.8557704635782547e-06,1.25,-79.160361571947846
4.3833863319662824e-06,1.25,-75.281549780680223
4.9110022003543092e-06,1.25,-71.592719686376512
5.4386180687423361e-06,1.25,-68.084357652836388
6.001922398040939e-06,1.25,-64.527725809728082
6.565226727339542e-06,1.25,-61.156586033952181
7.1285310566381449e-06,1.25,-57.961567592526301
7.6918353859367478e-06,1.25,-54.933660953148589
8.2551397152353508e-06,1.25,-52.06421778419773
8.8184440445339537e-06,1.25,-49.34495095473298
9.3817483738325567e-06,1.25,-46.767934534494117
9.9450527031311596e-06,1.25,-44.325603793901436
1.0508357032429763e-05,1.25,-42.01075520405584
1.1071661361728365e-05,1.25,-39.816546436738719
1.107219117187807e-05,1.25,-39.814537419117372
1.1072191171878409e-05,1.25,-39.814537419116078
1.2057973524655075e-05,1.25,-36.243045259245136
1.3043755877431744e-05,1.25,-32.987709591737087
1.3824859069149064e-05,1.25,-30.61659331352007
1.3824859069149464e-05,1.25,-30.616593313518905
1.4171616923417776e-05,1.25,-29.621763571081715
1.4171616923418193e-05,1.25,-29.62176357108055
1.5103099891790121e-05,1.25,-27.105152399326542
1.6034582860162047e-05,1.25,-24.800088266871725
1.6966065828533976e-05,1.25,-22.690721317956999
1.7897548796905904e-05,1.25,-20.76183198433084
1.8829031765277832e-05,1.25,-18.998830985249214
1.9760514733649757e-05,1.25,-17.387759327475663
2.0691997702021685e-05,1.25,-15.915288305281209
2.1623480670393614e-05,1.25,-14.568719500444388
2.2363678106954139e-05,1.25,-13.580413690480967
2.2363678106954783e-05,1.25,-13.580413690480128
2.3301089214926929e-05,1.25,-12.419599344772465
2.4133389777067241e-05,1.25,-11.471436700567622
2.4133389777067933e-05,1.25,-11.471436700566855
2.4480135544398543e-05,1.25,-11.09857705250279
2.4480135544399261e-05,1.25,-11.098577052502037
2.5605888350126099e-05,1.25,-9.764144836201254
2.6731641155852936e-05,1.25,-8.1603734223148905
2.7857393961579777e-05,1.25,-6.3157442217959954
2.8983146767306614e-05,1.25,-4.2573792973810498
3.0108899573033452e-05,1.25,-2.0110413635900102
3.1234652378760293e-05,1.25,0.39886621327379146
3.2360405184487126e-05,1.25,2.949299415123491
3.3486157990213967e-05,1.25,5.618573572088863
3.444259780353273e-05,1.25,7.9645566670741346
3.4442597803533719e-05,1.25,7.9645566670766073
3.4789344639896931e-05,1.25,8.7976768376357057
3.4789344639897934e-05,1.25,8.7976768376380221
